season,week,mean_ci_width,mean_cv,n_contestants,ci_width_rank_pct
16,2,0.030515731482001276,0.09673324882239233,12,0.29253731343283584
16,3,0.03520430796460747,0.10189347741270552,11,0.3940298507462687
16,4,0.03976680915378873,0.1036011469872685,10,0.4835820895522388
16,5,0.04473700917854603,0.10392658392939078,9,0.591044776119403
16,6,0.050085250436019274,0.10204460868842236,8,0.6805970149253732
16,7,0.05708807815399821,0.10020508618635311,7,0.7611940298507462
16,8,0.06603416433879401,0.10048340623899464,6,0.8149253731343283
16,9,0.07864034405342925,0.09928550857665633,5,0.8805970149253731
16,10,0.09842733581487062,0.10079917699095325,4,0.9492537313432836
17,1,0.030123758495252007,0.09678377883294366,12,0.2865671641791045
17,2,0.03181799933729295,0.10115047458787578,12,0.3194029850746269
17,3,0.035492790617403756,0.1033420393631979,11,0.40298507462686567
17,4,0.04025324134369068,0.10480114200218198,10,0.4955223880597015
17,5,0.044514795694490523,0.1032151595862524,9,0.5850746268656717
17,6,0.049165550682634375,0.10078707991480954,8,0.6597014925373135
17,7,0.047470403153116465,0.09793527832872659,8,0.6388059701492538
17,8,0.052358329409935934,0.09471145696042764,7,0.6985074626865672
17,9,0.059691731189504715,0.09565628098808084,6,0.7791044776119403
17,10,0.07142518993076649,0.09327928929741099,5,0.8597014925373134
17,11,0.08659029352180353,0.09245963466758042,4,0.9194029850746268
18,1,0.02983849260619467,0.09419708694974661,12,0.2626865671641791
18,2,0.032845896340906504,0.09472894199649394,11,0.3402985074626866
18,3,0.03833822480494697,0.09189736090841649,9,0.44477611940298506
18,4,0.03843577402633475,0.09107024773984285,9,0.4507462686567164
18,5,0.0387771646538276,0.09135088411704705,9,0.4626865671641791
18,6,0.042297100237747715,0.08875467340412026,8,0.5283582089552239
18,7,0.04706808218158066,0.08683812533378185,7,0.6328358208955224
18,8,0.05411016905038917,0.08543583387666552,6,0.7253731343283583
18,9,0.06397371315759122,0.08442267744792538,5,0.8059701492537313
18,10,0.0772873897786066,0.0803223681451253,4,0.8776119402985074
19,1,0.028531467868437962,0.10005454237272628,13,0.2417910447761194
19,2,0.032350306026747745,0.10293707223698301,12,0.3283582089552239
19,3,0.03590495916484481,0.10452352511450794,11,0.41492537313432837
19,4,0.03913685107754225,0.10500969016747994,10,0.4716417910447761
19,5,0.04297443046297446,0.10376769747405404,9,0.5492537313432836
19,6,0.041910303141067994,0.09870918423354463,9,0.5223880597014925
19,7,0.046615970647581474,0.09723882024477092,8,0.6179104477611941
19,8,0.0518628672378317,0.09368240325633691,7,0.6955223880597015
19,9,0.060215771488830366,0.09478171967053621,6,0.7850746268656716
19,10,0.07160511905807582,0.09354973478467879,5,0.8626865671641791
19,11,0.0871648480532954,0.0920152579480933,4,0.9253731343283582
20,1,0.029399895129272394,0.09214945323679709,12,0.2507462686567164
20,2,0.03118099576256937,0.09685509928261139,12,0.30149253731343284
20,3,0.03519284603738746,0.09862666950768889,11,0.39104477611940297
20,4,0.04008351356093246,0.09984105341874354,10,0.48955223880597015
20,5,0.043970485868305056,0.09939724187656097,9,0.5671641791044776
20,6,0.0484970993113114,0.10077312119105622,8,0.6507462686567164
20,7,0.0536612355322197,0.09850101023564625,7,0.7194029850746269
20,8,0.060029273441263166,0.09361273414175299,6,0.7820895522388059
20,9,0.08748730209517563,0.0919109690254986,4,0.9313432835820895
20,10,0.1129498471026019,0.0863411171149997,3,0.9940298507462687
21,1,0.02931867953520228,0.09873657872484494,13,0.24776119402985075
21,2,0.03138677034845312,0.1044795021225068,13,0.3044776119402985
21,3,0.03942702466917495,0.10125864300455437,10,0.47761194029850745
21,4,0.04009212225849979,0.10290534282837457,10,0.4925373134328358
21,5,0.04367008893508231,0.10101681931554872,9,0.5552238805970149
21,6,0.04401198236982597,0.10087931767191463,9,0.5701492537313433
21,7,0.04953962527336449,0.10035386560337745,8,0.6746268656716418
21,8,0.05741541207833636,0.10166208113874518,7,0.764179104477612
21,9,0.06845545208477015,0.10549236604880778,6,0.835820895522388
21,10,0.09424635317693822,0.1012730027135666,4,0.9462686567164179
21,11,0.09061868755522927,0.09699349936174265,4,0.9343283582089552
22,1,0.030051960251376342,0.09293665529315857,12,0.28059701492537314
22,2,0.03154407327860268,0.0972000433462915,12,0.31044776119402984
22,3,0.034980749538638424,0.0997039918416631,11,0.382089552238806
22,4,0.03874112447564967,0.10040195593168696,10,0.4597014925373134
22,5,0.04229682140184422,0.09960673642806306,9,0.5253731343283582
22,6,0.04253011232040152,0.10137096418582364,9,0.5313432835820896
22,7,0.04752491345246175,0.10486861428422514,8,0.6417910447761194
22,8,0.060998270174256734,0.10124792079900136,6,0.7940298507462686
22,9,0.0683191154714845,0.09572585029704643,5,0.8328358208955224
22,10,0.10341598737263273,0.0802903811103855,3,0.9671641791044776
23,1,0.02871457160694419,0.0968508138588977,13,0.24477611940298508
23,2,0.0299370874271601,0.10082425553100306,13,0.2716417910447761
23,3,0.03406993608064623,0.10315721853791514,12,0.3582089552238806
23,4,0.038260494848214595,0.1067069790839088,11,0.4388059701492537
23,5,0.046066200514653044,0.1069991900050314,9,0.6059701492537314
23,6,0.045181521343180625,0.10427287859341408,9,0.6
23,7,0.04925141657444911,0.10284436953500654,8,0.6656716417910448
23,8,0.05491440117874469,0.1024802624603025,7,0.7402985074626866
23,9,0.06118072674391853,0.09949698374282157,6,0.7970149253731343
23,10,0.07217163269392132,0.09857009091486321,5,0.8686567164179104
23,11,0.08409022802360237,0.09208827379692924,4,0.9074626865671642
24,1,0.02985018653792865,0.09426410327190064,12,0.2656716417910448
24,2,0.03100698878848429,0.09753919282895086,12,0.29850746268656714
24,3,0.03463658168025325,0.09915889044488756,11,0.3761194029850746
24,4,0.03753904834314064,0.09800861550478389,10,0.43283582089552236
24,5,0.04080497568015654,0.09711732372205745,9,0.5104477611940299
24,6,0.04444424606647164,0.094340497739791,8,0.582089552238806
24,7,0.049216108058388296,0.0924514956877165,7,0.6626865671641791
24,8,0.06401739152229177,0.08697860349972228,5,0.808955223880597
24,9,0.07919726896216828,0.0858384400471986,4,0.8865671641791045
24,10,0.1021422088072933,0.08112661756377122,3,0.9611940298507463
