celebrity_name,ci_width_mean,ci_width_median,ci_width_std,cv_mean,cv_median,cv_std,season,n_obs
Hope Solo,0.0469379180144241,0.0483611102003925,0.008540833590546358,0.10091900719571362,0.1032721105122294,0.008953892892776913,13,9
Ian Ziering,0.0581634693832875,0.0563480001901976,0.009786745202436014,0.12325762927345656,0.1249222781272801,0.008232616025645366,4,9
Ilona Maher,0.014656165421417868,0.0099028100904494,0.014146226425776008,0.02531495014854081,0.0182012234480308,0.015787542701021097,33,9
Iman Shumpert,0.008397108588397689,0.00555377443454445,0.008058432781156276,0.01855293876357286,0.01512150703359405,0.009633085275066953,30,10
Ingo Rademacher,0.03202870343386989,0.0325838844465697,0.004865981087470509,0.08870832963545675,0.0864853653805562,0.006084332524141957,16,9
J.R. Martinez,0.07010275020368237,0.06753716561371265,0.02034122133055829,0.10031094163578895,0.1018814451475181,0.011229199837007982,13,10
Jack Osbourne,0.058090422695160765,0.0609039757956157,0.018230171209252258,0.09618788609813894,0.0970766848159368,0.00550424401869149,17,11
Jack Wagner,0.017640310520728068,0.0165676649132883,0.0018816474465854285,0.0742321159745232,0.0741119196873074,0.0017068224835877217,14,3
Jacoby Jones,0.06507416788400988,0.06599569456334745,0.0206156255885952,0.10823736321894475,0.10607106513539394,0.006631452619905219,16,10
Jake Pavelka,0.02872444078253428,0.0294027023956254,0.00440099737850666,0.0899708560253134,0.0897344278967297,0.006045138922869981,10,6
Jake T. Austin,0.019127380476908352,0.019127380476908352,0.0027883385813188694,0.099607813083444,0.099607813083444,0.0021646018302419554,23,2
Jaleel White,0.030470934528384386,0.0302682364972033,0.0016728001298639589,0.097261945620424,0.1005223759775972,0.007475108407496059,14,7
James Hinchcliffe,0.058311779676117,0.0583942914993171,0.01500679221898239,0.10994425142652026,0.1092510875993981,0.0111979438030411,23,11
James Maslow,0.05731140591858332,0.055259684216,0.017197647416217595,0.08836665386116747,0.08997857020505085,0.0039190235020550674,18,10
James Van Der Beek,0.0091163907376238,0.006682615921487899,0.005815794691905406,0.02167632007188699,0.018119979291353748,0.010634461116161833,28,10
Jamie Anderson,0.0299829769813816,0.0299829769813816,,0.0969598334176927,0.0969598334176927,,26,1
Jamie Lynn Spears,0.01333500976828585,0.01333500976828585,0.002315808283848633,0.053795740816651,0.053795740816651,0.007684201460133265,32,2
Jana Kramer,0.0558689248627483,0.0567583815673801,0.017178887157942687,0.10195310066711417,0.1024330836130689,0.006515751393030816,23,11
Jane Seymour,0.039387066115229144,0.0375890272623906,0.005455365268806185,0.11309839975334422,0.1181743710095185,0.010184352659767772,5,7
Janel Parrish,0.057678303853004105,0.0548731409798746,0.015823063733507742,0.10181530626259806,0.1017906806349133,0.0076097438334301205,19,11
Jason Lewis,0.0089617549935933,0.0089617549935933,,0.0483172260925823,0.0483172260925823,,31,1
Jason Mraz,0.009551062012345473,0.0044959005806282,0.010705845384644828,0.01763248924335491,0.0113351495417517,0.013122571363693937,32,11
Jason Taylor,0.08254897644450117,0.0794196340973683,0.028057580809998563,0.1082826990060692,0.10878977557699496,0.008498463445036165,6,10
Jeannie Mai,0.004171345118467157,0.0033031979094208,0.0022748067411698953,0.014763743220235185,0.0127830324700257,0.00982998084078641,29,7
Jeffrey Ross,0.0223870644711936,0.0223870644711936,,0.0985341744724332,0.0985341744724332,,7,1
Jen Affleck,0.008278612098409629,0.0083605096666265,0.004367494632956284,0.027556244094070585,0.0273383243731128,0.015314966357413466,34,7
Jenn Tran,0.0079191102256552,0.008294443219345499,0.003720759667786589,0.020448179831356935,0.01842265038799145,0.008487112200387129,33,6
