name,t0,qid,awards_total,awards_dated,awards_pre_t0,award_date_coverage
Sean Spicer,2019-11-25,Q27829251,0.0,0.0,0.0,0.0
Selma Blair,2022-11-21,Q264748,1.0,1.0,1.0,1.0
Shandi Finnessey,2007-05-21,Q2632936,0.0,0.0,0.0,0.0
Shangela,2022-11-21,Q7488379,0.0,0.0,0.0,0.0
Shanna Moakler,2006-11-14,Q258736,1.0,1.0,1.0,1.0
Shannen Doherty,2010-05-24,Q207598,2.0,2.0,2.0,1.0
Shannon Elizabeth,2008-05-19,Q228882,0.0,0.0,0.0,0.0
Shawn Johnson,2012-11-26,Q229044,0.0,0.0,0.0,0.0
Sherri Sheperd,2012-05-21,QID_NOT_FOUND,0.0,0.0,0.0,0.0
Simone Biles,2017-05-22,Q7520267,7.0,6.0,2.0,0.8571428571428571
Skai Jackson,2020-11-23,Q297724,0.0,0.0,0.0,0.0
Stacy Keibler,2006-02-23,Q238407,0.0,0.0,0.0,0.0
Stephen Nedoroscik,2024-11-26,Q107328953,0.0,0.0,0.0,0.0
Steve Guttenberg,2008-05-19,Q318685,1.0,0.0,0.0,0.0
Steve Wozniak,2009-05-18,Q483382,7.0,7.0,5.0,1.0
Steve-O,2009-05-18,Q451501,0.0,0.0,0.0,0.0
Sugar Ray Leonard,2011-05-23,Q335798,1.0,1.0,1.0,1.0
Suni Lee,2021-11-22,Q59484397,1.0,1.0,1.0,1.0
Susan Lucci,2008-11-24,Q242936,12.0,9.0,7.0,0.75
Suzanne Somers,2015-05-18,Q242939,1.0,0.0,0.0,0.0
Tamar Braxton,2015-11-23,Q437375,1.0,1.0,1.0,1.0
Tatum O'Neal,2006-02-23,Q230138,2.0,2.0,2.0,1.0
Tavis Smiley,2014-11-24,Q164382,1.0,0.0,0.0,0.0
Ted McGinley,2008-11-24,Q617641,0.0,0.0,0.0,0.0
